FREQUENCY (MHz)),LOSS (dB),
909,-4.080583901,
911,-4.118027535,
913,-4.121703417,
915,-4.117337922,
917,-4.130569178,
919,-4.109948031,
921,-4.143021374,
923,-4.127636629,
925,-4.12465036,
927,-4.145279903,
929,-4.148222048,
931,-4.165810402,
933,-4.154106337,
935,-4.159988228,
937,-4.162874255,
939,-4.192272914,
941,-4.201151869,
943,-4.17831152,
945,-4.189397683,
947,-4.192339827,
949,-4.20410121,
951,-4.209983101,
953,-4.192347024,
955,-4.224619716,
957,-4.209990298,
959,-4.227631173,
961,-4.245201537,
963,-4.22763597,
965,-4.236457607,
967,-4.251084627,
969,-4.26284481,
971,-4.242344296,
973,-4.233449749,
975,-4.280565792,
977,-4.236472,
979,-4.265871859,
981,-4.36876537,
983,-4.284985006,
985,-4.2607345,
987,-4.292339169,
989,-4.289314519,
991,-4.315861935,
993,-4.254039965,
995,-4.298228256,
997,-4.324688369,
999,-4.218859911,
1001,-4.298970389,
1002,-4.333419105,
1004,-4.327637711,
1006,-4.327542012,
1008,-4.336461746,
1010,-4.357042368,
1012,-4.333526798,
1014,-4.355474397,
1016,-4.34529058,
1018,-4.359991709,
1020,-4.336476139,
1022,-4.359996506,
1024,-4.368818143,
1026,-4.386348927,
1028,-4.371762687,
1030,-4.363680784,
1032,-4.377533287,
1034,-4.398112709,
1036,-4.392350504,
1038,-4.424572822,
1040,-4.424745032,
1042,-4.417960792,
1044,-4.418696928,
1046,-4.421759959,
1048,-4.424578819,
1050,-4.448222471,
1052,-4.454713615,
1054,-4.442347776,
1056,-4.457048905,
1058,-4.453376622,
1060,-4.424586015,
1062,-4.462935594,
1064,-4.4907327,
1066,-4.470289757,
1068,-4.445304314,
1070,-4.477507441,
1072,-4.489405302,
1074,-4.486467955,
1076,-4.47471137,
1078,-4.489271223,
1080,-4.477513438,
1082,-4.515731336,
1084,-4.535720695,
1086,-4.504120824,
1088,-4.527493919,
1090,-4.512796388,
1092,-4.518677079,
1094,-4.530437263,
1096,-4.520884288,
1098,-4.527653185,
1100,-4.536320353,
1102,-4.551020283,
1104,-4.53647962,
1106,-4.539263697,
1108,-4.565881878,
1110,-4.562944531,
1112,-4.57764566,
1114,-4.577485194,
1116,-4.577650457,
1118,-4.60852019,
1120,-4.612765744,
1122,-4.583537146,
1124,-4.612768143,
1126,-4.601010358,
1128,-4.618650034,
1130,-4.612944201,
1132,-4.609833195,
1134,-4.639231854,
1136,-4.624710382,
1138,-4.645113745,
1140,-4.642175199,
1142,-4.618838086,
1144,-4.627659723,
1146,-4.662939075,
1148,-4.662941473,
1150,-4.668823364,
1152,-4.654127033,
1154,-4.633551209,
1156,-4.686280985,
1158,-4.677823208,
1160,-4.683534089,
1162,-4.691620789,
1164,-4.692358124,
1166,-4.709998999,
1168,-4.704121906,
1170,-4.707064051,
1172,-4.695307466,
1174,-4.69824961,
1176,-4.721769978,
1178,-4.715862649,
1180,-4.712753092,
1182,-4.723214412,
1184,-4.709815745,
1186,-4.686298976,
1188,-4.72178437,
1190,-4.745304737,
1192,-4.748037241,
1194,-4.751189027,
1196,-4.736492696,
1198,-4.750980585,
1200,-4.7688347,
1202,-4.792355067,
1204,-4.78332139,
1206,-4.768623859,
1208,-4.750986582,
1210,-4.780605678,
1212,-4.789427315,
1214,-4.794351434,
1216,-4.789208078,
1218,-4.768631055,
1220,-4.777451493,
1222,-4.78627193,
1224,-4.836248812,
1226,-4.833711307,
1228,-4.807084982,
1230,-4.816641555,
1232,-4.818848763,
1234,-4.833315063,
1236,-4.845311275,
1238,-4.81885596,
1240,-4.833318662,
1242,-4.860188212,
1244,-4.856839029,
1246,-4.839443777,
1248,-4.850961935,
1250,-4.851207559,
1252,-4.852679831,
1254,-4.827447565,
1256,-4.88330394,
1258,-4.871795377,
1260,-4.903884561,
1262,-4.895318143,
1264,-4.895320541,
1266,-4.900948413,
1268,-4.898265085,
1270,-4.895327738,
1272,-4.883571152,
1274,-4.901212027,
1276,-4.901214426,
1278,-4.939172308,
1280,-4.921797446,
1282,-4.900958008,
1284,-4.918862498,
1286,-4.930357867,
1288,-4.936238559,
1290,-4.949002091,
1292,-4.968578164,
1294,-4.983548905,
1296,-4.974732065,
1298,-4.956361051,
1300,-4.936520164,
1302,-4.976668463,
1304,-5.006802059,
1306,-4.98944279,
1308,-4.93252002,
1310,-4.985037968,
1312,-4.980630748,
1314,-4.998723754,
1316,-4.998274022,
1318,-5.003135772,
1320,-5.010037804,
1322,-4.98725717,
1324,-5.012693545,
1326,-5.021513983,
1328,-5.033445176,
1330,-5.036507512,
1332,-5.009758597,
1334,-5.03651231,
1336,-5.039158456,
1338,-5.043866472,
1340,-5.074736205,
1342,-5.062979619,
1344,-5.053127047,
1346,-5.062682421,
1348,-5.068563113,
1350,-5.033591754,
1352,-5.099429768,
1354,-5.101210711,
1356,-5.092564881,
1358,-5.067408429,
1360,-5.047992087,
1362,-5.089149731,
1364,-5.14017434,
1366,-5.11886358,
1368,-5.118865978,
1370,-5.118868377,
1372,-5.095352808,
1374,-5.086535968,
1376,-5.118140637,
1378,-5.118143036,
1380,-5.139458593,
1382,-5.14828023,
1384,-5.137993518,
1386,-5.13620006,
1388,-5.145347681,
1390,-5.154169318,
1392,-5.148292224,
1394,-5.146089814,
1396,-5.161525879,
1398,-5.153845733,
1400,-5.154181312,
1402,-5.133605488,
1404,-5.160065601,
1406,-5.179911286,
1408,-5.180309445,
1410,-5.174431152,
1412,-5.209880314,
1414,-5.218872516,
1416,-5.180314242,
1418,-5.18913468,
1420,-5.210449038,
1422,-5.174050984,
1424,-5.220354383,
1426,-5.230295922,
1428,-5.209718899,
1430,-5.192433992,
1432,-5.209721298,
1434,-5.201258028,
1436,-5.262639125,
1438,-5.248298762,
1440,-5.218903701,
1442,-5.242064501,
1444,-5.251245705,
1446,-5.265584868,
1448,-5.295346693,
1450,-5.2863365,
1452,-5.2512553,
1454,-5.26264992,
1456,-5.295356288,
1458,-5.312628002,
1460,-5.295361086,
1462,-5.304182723,
1464,-5.297197933,
1466,-5.250537155,
1468,-5.274057522,
1470,-5.291698397,
1472,-5.342033858,
1474,-5.330276073,
1476,-5.327337526,
1478,-5.296117612,
1480,-5.307144058,
1482,-5.342039855,
1484,-5.343510927,
1486,-5.327343523,
1488,-5.351249844,
1490,-5.339493259,
1492,-5.316148699,
1494,-5.371835263,
1496,-5.398074436,
1498,-5.434309664,
1500,-5.342050649,
1502,-5.365965366,
1504,-5.395365225,
1506,-5.39830737,
1508,-5.401249515,
1510,-5.360095469,
1512,-5.424772281,
1514,-5.415955441,
1516,-5.398319364,
1518,-5.415960239,
1520,-5.397917818,
1522,-5.439483005,
1524,-5.477702102,
1526,-5.471415068,
1528,-5.424791471,
1530,-5.389516917,
1532,-5.427736015,
1534,-5.421858921,
1536,-5.424801066,
1538,-5.438767259,
1540,-5.451263578,
1542,-5.439506993,
1544,-5.43614891,
1546,-5.451019849,
1548,-5.439514189,
1550,-5.483923381,
1552,-5.468916447,
1554,-5.489497068,
1556,-5.468921245,
1558,-5.439526183,
1560,-5.495383757,
1562,-5.480255895,
1564,-5.510087285,
1566,-5.533607652,
1568,-5.495393352,
1570,-5.486576513,
1572,-5.500840114,
1574,-5.536118266,
1576,-5.536559392,
1578,-5.515983568,
1580,-5.518925713,
1582,-5.495410144,
1584,-5.492028072,
1586,-5.503788256,
1588,-5.522046065,
1590,-5.53951593,
1592,-5.551277313,
1594,-5.515552038,
1596,-5.521432729,
1598,-5.545405017,
1600,-5.618446748,
1602,-5.571867529,
1604,-5.58611194,
1606,-5.56893258,
1608,-5.710042789,
1610,-5.568202442,
1612,-5.584646864,
1614,-5.615978112,
1616,-5.627739495,
1618,-5.595404688,
1620,-5.580708356,
1622,-5.575833623,
1624,-5.612581648,
1626,-5.574836061,
1628,-5.583657697,
1630,-5.630223723,
1632,-5.630224922,
1634,-5.636105614,
1636,-5.583667293,
1638,-5.850709474,
1640,-5.620418916,
1642,-5.61307195,
1644,-5.643206745,
1646,-5.621895985,
1648,-5.642476606,
1650,-5.830138448,
1652,-5.699320948,
1654,-5.671881263,
1656,-5.671883662,
1658,-5.718187061,
1660,-5.683647444,
1662,-5.633182659,
1664,-5.808938185,
1666,-5.754208545,
1668,-5.774789166,
1670,-5.744897807,
1672,-5.686601583,
1674,-5.680225792,
1676,-5.694925722,
1678,-5.774300065,
1680,-5.739526607,
1682,-5.701312307,
1684,-5.650834329,
1686,-5.680738882,
1688,-5.689053426,
1690,-5.722126769,
1692,-5.760119222,
1694,-5.765490422,
1696,-5.722642257,
1698,-5.701331497,
1700,-5.712357944,
1702,-5.830685121,
1704,-5.789531075,
1706,-5.830689918,
1708,-5.787331063,
1710,-5.764936091,
1712,-5.742504734,
1714,-5.766025101,
1716,-5.810858627,
1718,-5.865981264,
1720,-5.827240681,
1722,-5.767504569,
1724,-5.745458872,
1726,-5.812545549,
1728,-5.853703193,
1730,-5.854236672,
1732,-5.830187623,
1734,-5.798386295,
1736,-5.81602717,
1738,-5.830191221,
1740,-5.823381333,
1742,-5.830733097,
1744,-5.839014058,
1746,-5.818437035,
1748,-5.827257472,
1750,-5.818439434,
1752,-5.857202805,
1754,-5.827807744,
1756,-5.889544809,
1758,-5.896347501,
1760,-5.833694432,
1762,-5.845455815,
1764,-5.87779542,
1766,-5.87503914,
1768,-5.925016022,
1770,-5.862547618,
1772,-5.866046031,
1774,-5.871927922,
1776,-5.854291845,
1778,-5.842535259,
1780,-5.880754357,
1782,-5.883133037,
1784,-5.898397631,
1786,-5.936616728,
1788,-5.894895619,
1790,-5.880198089,
1792,-5.891057861,
1794,-5.936626323,
1796,-5.909599147,
1798,-5.912540093,
1800,-5.913115551,
1802,-5.910913141,
1804,-5.912543691,
1806,-5.913122748,
1808,-5.945462353,
1810,-5.986621196,
1812,-5.930186965,
1814,-5.920481708,
1816,-5.889616773,
1818,-5.960173077,
1820,-5.982958508,
1822,-6.001334319,
1824,-5.974290352,
1826,-5.986050535,
1828,-5.971944055,
1830,-6.024861883,
1832,-6.009572102,
1834,-6.033685919,
1836,-6.016049841,
1838,-5.992534272,
1840,-5.96313921,
1842,-5.971960847,
1844,-6.018999183,
1846,-6.018399736,
1848,-6.010184742,
1850,-6.005042585,
1852,-6.034442444,
1854,-6.01607143,
1856,-6.033712306,
1858,-6.030774958,
1860,-6.057235072,
1862,-6.055156157,
1864,-6.021350277,
1866,-6.006652746,
1868,-6.036666444,
1870,-6.045488081,
1872,-6.086646925,
1874,-6.050753734,
1876,-6.063133754,
1878,-6.065454863,
1880,-6.092536012,
1882,-6.077216246,
1884,-6.08897643,
1886,-6.066085494,
1888,-6.107244337,
1890,-6.080789022,
1892,-6.071972183,
1894,-6.060950534,
1896,-6.078591409,
1898,-6.098437093,
1900,-6.17640644,
1902,-6.077863669,
1904,-6.09844429,
1906,-6.04553126,
1908,-6.071991373,
1910,-6.068319089,
1912,-6.101393631,
1914,-6.133733236,
1916,-6.07429689,
1918,-6.15137651,
1920,-6.092583988,
1922,-6.138974901,
1924,-6.113167008,
1926,-6.148446359,
1928,-6.163147488,
1930,-6.144859191,
1932,-6.147718619,
1934,-6.156620574,
1936,-6.192554544,
1938,-6.224237131,
1940,-6.235997315,
1942,-6.144866387,
1944,-6.184479838,
1946,-6.195506284,
1948,-6.174930461,
1950,-6.203666106,
1952,-6.221971195,
1954,-6.210214609,
1956,-6.183759294,
1958,-6.191911919,
1960,-6.19779261,
1962,-6.244829747,
1964,-6.274901016,
1966,-6.200735955,
1968,-6.182363741,
1970,-6.201414562,
1972,-6.221995183,
1974,-6.230138213,
1976,-6.257276933,
1978,-6.250718834,
1980,-6.296286097,
1982,-6.280118693,
1984,-6.262481416,
1986,-6.265422362,
1988,-6.313146501,
1990,-6.295510423,
1992,-6.266115362,
1994,-6.249949157,
1996,-6.253669375,
1998,-6.233092352,
2004,-6.292623408,
2008,-6.249900092,
2012,-6.246960345,
2016,-6.249900092,
2020,-6.185225679,
2024,-6.220502631,
2028,-6.202129218,
2032,-6.236671234,
2036,-6.27121325,
2040,-6.211683393,
2044,-6.245204857,
2048,-6.270478314,
2052,-6.267538568,
2056,-6.307225139,
2060,-6.329273235,
2064,-6.268722825,
2068,-6.29518054,
2072,-6.329273235,
2076,-6.286646917,
2080,-6.27121325,
2084,-6.369694743,
2088,-6.349116521,
2092,-6.345156222,
2096,-6.41452587,
2100,-6.435104092,
2104,-6.372634489,
2108,-6.353975461,
2112,-6.405706632,
2116,-6.355730949,
2120,-6.351035714,
2124,-6.41452587,
2128,-6.391007902,
2132,-6.373369425,
2136,-6.467441299,
2140,-6.426284854,
2144,-6.403951143,
2148,-6.408646378,
2152,-6.426284854,
2156,-6.438043838,
2160,-6.463766616,
2164,-6.532115712,
2168,-6.504637445,
2172,-6.452742569,
2176,-6.476260537,
2180,-6.471565302,
2184,-6.546814442,
2188,-6.590910633,
2192,-6.486264033,
2196,-6.508597743,
2200,-6.535055458,
2204,-6.530360223,
2208,-6.611488855,
2212,-6.616633411,
2216,-6.585031141,
2220,-6.629862268,
2224,-6.635006823,
2228,-6.602669617,
2232,-6.596790125,
2236,-6.576211902,
2240,-6.567392664,
2244,-6.521540985,
2248,-6.606344299,
2252,-6.629127331,
2256,-6.611488855,
2260,-6.629127331,
2264,-6.623247839,
2268,-6.659259728,
2272,-6.629862268,
2276,-6.657054919,
2280,-6.676163268,
2284,-6.632067077,
2288,-6.658524792,
2292,-6.853732288,
2296,-6.694986002,
2300,-6.690127062,
2304,-6.690861998,
2308,-6.711440221,
2312,-6.676163268,
2316,-6.711440221,
2320,-6.776114634,
2324,-6.737897935,
2328,-6.746717173,
2332,-6.829030062,
2336,-6.81551559,
2340,-6.814331332,
2344,-6.796692856,
2348,-6.779503701,
2352,-6.781994126,
2356,-6.820210824,
2360,-6.793018173,
2364,-6.858427523,
2368,-6.831969808,
2372,-6.817271078,
2376,-6.8378493,
2380,-6.846668539,
2384,-6.900768225,
2388,-6.893704475,
2392,-6.879005745,
2396,-6.797877113,
2400,-6.820210824,
2404,-6.876065999,
2408,-6.881945491,
2412,-6.811391586,
2416,-6.873126253,
2420,-6.879005745,
2424,-6.887824983,
2428,-6.907668269,
2432,-6.93486092,
2436,-6.962502892,
2440,-6.952499396,
2444,-6.98116192,
2448,-6.977201622,
2452,-7.037752032,
2456,-7.003210016,
2460,-6.900318904,
2464,-6.990716095,
2468,-7.003210016,
2472,-6.994840098,
2476,-7.040691778,
2480,-7.018643682,
2484,-6.988960606,
2488,-7.093607206,
2492,-7.070089238,
2496,-7.012478575,
2500,-7.073028984,
2504,-7.050245952,
2508,-6.970137873,
2512,-7.056860381,
2516,-7.081848222,
2520,-7.017173809,
2524,-7.012478575,
2528,-7.008354571,
2532,-7.052450762,
2536,-7.085522905,
2540,-7.04657127,
2544,-7.093607206,
2548,-7.064944682,
2552,-7.171224861,
2556,-7.20458262,
2560,-7.117125175,
2564,-7.159465877,
2568,-7.175185159,
2572,-7.143582889,
2576,-7.174164607,
2580,-7.199438064,
2584,-7.199438064,
2588,-7.241778766,
2592,-7.340545874,
2596,-7.261172731,
2600,-7.193558572,
2604,-7.318497779,
2608,-7.305268922,
2612,-7.200622321,
2616,-7.225895778,
2620,-7.364063843,
2624,-7.258232985,
2628,-7.293509937,
2632,-7.264112477,
2636,-7.184739334,
2640,-7.20944156,
2644,-7.352304858,
2648,-7.305268922,
2652,-7.232959528,
2656,-7.293509937,
2660,-7.34348562,
2664,-7.325847144,
2668,-7.390970878,
2672,-7.331726636,
2676,-7.311148414,
2680,-7.300573687,
2684,-7.356428862,
2688,-7.390521557,
2692,-7.341730132,
2696,-7.321437525,
2700,-7.344955493,
2704,-7.446376732,
2708,-7.571030323,
2712,-7.660978193,
2716,-7.433147875,
2720,-7.576460494,
2724,-7.466954954,
2728,-7.359368608,
2732,-7.464015208,
2736,-7.443436986,
2740,-7.345404814,
2744,-7.404485351,
2748,-7.387581811,
2752,-7.34348562,
2756,-7.470629637,
2760,-7.782977654,
2764,-7.433882811,
2768,-7.452256224,
2772,-7.61100251,
2776,-7.502966843,
2780,-7.382886576,
2784,-7.490472922,
2788,-7.487533176,
2792,-7.461075462,
2796,-7.512235402,
2800,-7.550737716,
2804,-7.508111399,
2808,-7.525749875,
2812,-7.669797431,
2816,-7.549267843,
2820,-7.59630378,
2824,-7.699194892,
2828,-7.635990352,
2832,-7.570295387,
2836,-7.690375654,
2840,-7.681556415,
2844,-7.606307276,
2848,-7.575725558,
2852,-7.605123018,
2856,-7.502231907,
2860,-7.591159224,
2864,-7.668327558,
2868,-7.593364034,
2872,-7.663917939,
2876,-7.670532368,
2880,-7.525749875,
2884,-7.675676923,
2888,-7.681556415,
2892,-7.537508859,
2896,-7.623496431,
2900,-7.59630378,
2904,-7.61806626,
2908,-7.655098701,
2912,-7.677146796,
2916,-7.562211085,
2920,-7.669797431,
2924,-7.705074384,
2928,-7.81531486,
2932,-7.769748797,
2936,-7.725652606,
2940,-7.818254606,
2944,-7.784161911,
2948,-7.784447527,
2952,-7.802086003,
2956,-7.714628558,
2960,-7.73741159,
2964,-7.755050067,
2968,-7.78857153,
2972,-7.83442321,
2976,-7.875579654,
2980,-7.865004928,
2984,-7.855001432,
2988,-7.713893622,
