Trace
Swept SA
A.07.06,N9010A
3384000000,-20.0157805544172
3388000000,-20.0214384411386
3392000000,-20.0741322645788
3396000000,-20.0915491354799
3400000000,-20.0589903236174
3404000000,-20.0852264326533
3408000000,-20.1114625416892
3412000000,-20.1171204284107
3416000000,-20.0757423784134
3420000000,-20.0431835665508
3424000000,-20.0473659151768
3428000000,-20.0299133426367
3432000000,-20.0024572745021
3436000000,-19.9911698096145
3440000000,-20.0004605670414
3444000000,-19.9570237505169
3448000000,-19.9500523086067
3452000000,-20.0004059145723
3456000000,-19.9949043456845
3460000000,-19.9827883481956
3464000000,-20.0074191762682
3468000000,-20.0130327408281
3472000000,-19.9746249864932
3476000000,-20.038659022782
3480000000,-19.982163471229
3484000000,-19.9727038563947
3488000000,-20.0261507784456
3492000000,-19.9839754825421
3496000000,-19.9817723738076
3500000000,-20.0060269794774
3504000000,-19.9744264102937
3508000000,-19.9722233015592
3512000000,-20.0158718720836
3516000000,-19.9825158143148
3520000000,-19.9861921976702
3524000000,-20.0016275652052
3528000000,-20.0111834406504
3532000000,-20.006040585871
3536000000,-20.0008977310916
3540000000,-20.0339715748962
3544000000,-20.0082504978023
3548000000,-20.0089871351127
3552000000,-20.0326030739157
3556000000,-19.9801746986225
3560000000,-19.9555589020911
3564000000,-19.9456418357843
3568000000,-19.9357247694774
3572000000,-19.9081692269011
3576000000,-19.9110986749434
3580000000,-19.8997940604911
3584000000,-19.8583570490783
3588000000,-19.872775212519
3592000000,-19.8724946457352
3596000000,-19.8251781422326
3600000000,-19.9827165780415
3604000000,-19.8675424658125
3608000000,-19.7464888614935
3612000000,-19.7499251431352
3616000000,-19.6543087011467
3620000000,-19.758431284827
3624000000,-19.8519452387028
3628000000,-19.8887719393472
3632000000,-19.9655708271608
3636000000,-20.1058598705028
3640000000,-20.1573853013719
3644000000,-20.2047867287363
3648000000,-20.3785972360322
3652000000,-20.4424528822063
3656000000,-20.4469423763566
3660000000,-20.3385372633401
3664000000,-20.3053812900318
3668000000,-20.1981604344751
3672000000,-20.1426707502671
3676000000,-20.1477314755428
3680000000,-20.1228235092439
3684000000,-20.1062854601312
3688000000,-20.1117955063554
3692000000,-20.1004020128213
3696000000,-20.1801159379616
3700000000,-20.1679478243859
3704000000,-20.2469118382027
3708000000,-20.2388677281317
3712000000,-20.2061213922415
3716000000,-20.2123266914465
3720000000,-20.1759056730002
3724000000,-20.1387497180426
3728000000,-20.185662140928
3732000000,-20.1364615862281
3736000000,-20.1767595805123
3740000000,-20.1932539908746
3744000000,-20.1763906426688
3748000000,-20.1789212593177
3752000000,-20.1696928917869
3756000000,-20.1898619847053
3760000000,-20.1012604739616
3764000000,-20.0861526143409
3768000000,-20.079863992855
3772000000,-20.0559368950996
3776000000,-20.0320097973442
3780000000,-20.0962750809364
3784000000,-20.0517697608665
3788000000,-20.030782409156
3792000000,-20.0615262287943
3796000000,-20.0240846582741
3800000000,-19.9560613698448
3804000000,-19.9380137641793
3808000000,-19.9023276822441
3812000000,-19.8431236319497
3816000000,-19.8768071976329
3820000000,-19.8393656271126
3824000000,-19.8169084023797
3828000000,-19.8620653366799
3832000000,-19.8116805245202
3836000000,-19.7906931728097
3840000000,-19.7814648052789
3844000000,-19.8016338981973
3848000000,-19.7740321178857
3852000000,-19.8037553854501
3856000000,-19.8168607288188
3860000000,-19.8139611743265
3864000000,-19.842500184431
3868000000,-19.808733296467
3872000000,-19.8105289766046
3876000000,-19.8424570537027
3880000000,-19.9008428452051
3884000000,-19.8945542237192
3888000000,-19.9147233166376
3892000000,-19.9878078383646
3896000000,-19.969760232699
3900000000,-19.9752305953928
3904000000,-20.0189176566706
3908000000,-19.9802918286906
3912000000,-20.0364728106593
3916000000,-20.0610515226451
3920000000,-20.0878350441645
3924000000,-20.0962451529032
3928000000,-20.1605104364955
3932000000,-20.0943961391833
3936000000,-20.1372668476338
3940000000,-20.1495558381752
3944000000,-20.0760209622887
3948000000,-20.086554464245
3952000000,-20.0294738071681
3956000000,-20.0341278170346
3960000000,-20.0358420808561
3964000000,-20.0110986302734
3968000000,-20.0216321322297
3972000000,-20.035105380231
3976000000,-20.057397866367
3980000000,-20.0091364474249
3984000000,-20.0314289335609
3988000000,-20.0625406578317
3992000000,-20.0936523821024
3996000000,-20.0711137410534
4000000000,-20.0382859888471
4004000000,-20.0106027922195
4008000000,-20.015256802086
4012000000,-19.9787543673235
4016000000,-19.9922276153248
4020000000,-20.005700863326
4024000000,-20.0074151271476
4028000000,-19.9973704067894
4032000000,-20.0020244166559
4036000000,-20.0272566488369
4040000000,-20.0172119284787
4044000000,-19.9954082239409
4048000000,-20.0088814719422
4052000000,-19.9811982753145
4056000000,-19.9917317772708
4060000000,-19.9875665490025
4064000000,-19.95694360633
4068000000,-19.9586578701515
4072000000,-19.9456734037485
4076000000,-19.9356286833903
4080000000,-19.9226442169873
4084000000,-19.918478988719
4088000000,-19.9348919827652
4092000000,-19.9072087861375
4096000000,-19.9184772246051
4100000000,-19.898878329601
4104000000,-19.8917733552877
4108000000,-19.9133309049125
4112000000,-19.9304788354699
4116000000,-19.9351328453364
4120000000,-19.9515458393826
4124000000,-19.9885370557432
4128000000,-19.98143208143
4132000000,-20.0390015201051
4136000000,-20.064233752286
4140000000,-20.0688877621525
4144000000,-20.1323366929174
4148000000,-20.1722676553229
4152000000,-20.165897617521
4156000000,-20.2315513578196
4160000000,-20.2273861295513
4164000000,-20.2349798854627
4168000000,-20.2602121176436
4172000000,-20.2700106830887
4176000000,-20.2636406452868
4180000000,-20.2888728774677
4184000000,-20.2619246173513
4188000000,-20.2923014051108
4192000000,-20.2528592243035
4196000000,-20.2751517104395
4200000000,-20.2445287677669
4204000000,-20.2598776471823
4208000000,-20.2722867805527
4212000000,-20.2670574376536
4216000000,-20.2530088566198
4220000000,-20.1860448467773
4224000000,-20.2454899168665
4228000000,-20.2596545388221
4232000000,-20.2350312310683
4236000000,-20.2151031579446
4240000000,-20.2392712754948
4244000000,-20.2002348530791
4248000000,-20.1876561450677
4252000000,-20.1883062942584
4256000000,-20.1757275862471
4260000000,-20.1484501480111
4264000000,-20.140281059067
4268000000,-20.1262324780332
4272000000,-20.1109996395395
4276000000,-20.0893160778307
4280000000,-20.0796771158643
4284000000,-20.0399057569373
4288000000,-20.0295318584596
4292000000,-20.0583952106398
4296000000,-20.0278924107962
4300000000,-20.0109040837174
4304000000,-19.9174823594707
4308000000,-19.8666869528753
4312000000,-19.8217710383698
4316000000,-19.7989032192012
4320000000,-19.8201315907064
4324000000,-19.9148536133346
4328000000,-19.9449012229746
4332000000,-19.9720090865697
4336000000,-20.0314541566589
4340000000,-20.0750162390636
4344000000,-20.0739108996693
4348000000,-20.0833802869948
4352000000,-20.0946196582718
4356000000,-20.062397431021
4360000000,-20.0654521563093
4364000000,-20.092024849957
4368000000,-20.111533794055
4372000000,-20.0827006337978
4376000000,-20.1129480100016
4380000000,-20.1243726524761
4384000000,-20.1168526510445
4388000000,-20.1532651349009
4392000000,-20.3591623372888
4396000000,-20.1517396048025
4400000000,-20.1900712826299
4404000000,-20.3154110843451
4408000000,-20.2508516506002
4412000000,-20.2521508873034
4416000000,-20.205229929828
4420000000,-20.2700193220597
4424000000,-20.2454320754839
4428000000,-20.2290928359176
4432000000,-20.2174488309813
4436000000,-20.1264316828321
4440000000,-20.1429162202927
4444000000,-20.1509378869885
4448000000,-20.1141284264993
4452000000,-20.1349296294486
4456000000,-20.0757864580598
4460000000,-20.0477962357053
4464000000,-20.0810913593456
4468000000,-19.9888760449514
4472000000,-19.9241389970354
4476000000,-19.9346510888275
4480000000,-19.8563995681467
4484000000,-19.8210599806799
4488000000,-19.8256925803822
4492000000,-19.7680192820158
4496000000,-19.7341495675715
4500000000,-19.6944003610373
4504000000,-19.6913979800646
4508000000,-19.7001545832716
4512000000,-19.6706944878947
4516000000,-19.6904751387702
4520000000,-19.6999666784884
4524000000,-19.6705065831115
4528000000,-19.699841408633
4532000000,-19.7056582657951
4536000000,-19.7482219485187
4540000000,-19.7731471549728
4544000000,-19.7848435042247
4548000000,-19.8259373139259
4552000000,-19.8729106157169
4556000000,-19.881667218924
4560000000,-19.9462789969845
4564000000,-19.9873728066857
4568000000,-20.0088441272258
